check_id,run_date,source_system,table_name,check_type,records_checked,failed_records,failure_rate_pct,severity,status
CHK0001,2026-01-01,ERP,stg_extract,null_rate,234238,9895,4.22,High,fail
CHK0002,2026-01-02,Notebook,requirement_log,threshold_breach,137338,3536,2.57,High,pass
CHK0003,2026-01-03,Support notes,stg_extract,duplicate_key,4499,39,0.87,Low,waived
CHK0004,2026-01-04,ERP,fact_events,threshold_breach,218600,1183,0.54,Low,pass
CHK0005,2026-01-05,Notebook,requirement_log,definition_drift,62816,635,1.01,Medium,watch
CHK0006,2026-01-06,CRM,fact_events,duplicate_key,87067,2788,3.2,High,waived
CHK0007,2026-01-07,Support notes,fact_events,definition_drift,202631,7954,3.93,High,waived
CHK0008,2026-01-08,ERP,requirement_log,null_rate,9772,290,2.97,High,pass
CHK0009,2026-01-09,ERP,requirement_log,referential_integrity,70776,2938,4.15,High,watch
CHK0010,2026-01-10,ERP,dim_entity,duplicate_key,144447,513,0.36,Low,pass
CHK0011,2026-01-11,Support notes,requirement_log,freshness,227917,7891,3.46,High,pass
CHK0012,2026-01-12,CRM,stg_extract,null_rate,211137,7752,3.67,High,waived
CHK0013,2026-01-13,CRM,report_output,null_rate,172512,4291,2.49,Medium,waived
CHK0014,2026-01-14,Sigma workbook,stg_extract,definition_drift,132057,3024,2.29,Medium,pass
CHK0015,2026-01-15,Support notes,stg_extract,duplicate_key,37095,632,1.7,Medium,fail
CHK0016,2026-01-16,CRM,fact_events,freshness,126004,2827,2.24,Medium,fail
CHK0017,2026-01-17,Notebook,fact_events,duplicate_key,47902,1043,2.18,Medium,pass
CHK0018,2026-01-18,ERP,dim_entity,definition_drift,238650,6243,2.62,High,watch
CHK0019,2026-01-19,CRM,fact_events,threshold_breach,31448,634,2.02,Medium,waived
CHK0020,2026-01-20,Notebook,requirement_log,threshold_breach,67405,2543,3.77,High,fail
CHK0021,2026-01-21,ERP,fact_events,referential_integrity,115465,4271,3.7,High,fail
CHK0022,2026-01-22,Notebook,fact_daily_metric,freshness,216990,237,0.11,Low,waived
CHK0023,2026-01-23,CRM,dim_entity,threshold_breach,4228,147,3.48,High,fail
CHK0024,2026-01-24,Sigma workbook,fact_daily_metric,referential_integrity,144808,1612,1.11,Medium,fail
CHK0025,2026-01-25,Notebook,fact_daily_metric,referential_integrity,8857,244,2.75,High,waived
CHK0026,2026-01-26,Data warehouse,stg_extract,threshold_breach,31843,1335,4.19,High,fail
CHK0027,2026-01-27,Data warehouse,dim_entity,freshness,136235,1872,1.37,Medium,pass
CHK0028,2026-01-28,ERP,report_output,threshold_breach,22585,295,1.31,Medium,watch
CHK0029,2026-01-29,Notebook,stg_extract,freshness,58327,912,1.56,Medium,waived
CHK0030,2026-01-30,ERP,requirement_log,threshold_breach,44513,1587,3.57,High,watch
CHK0031,2026-01-31,ERP,fact_events,threshold_breach,212340,5480,2.58,High,pass
CHK0032,2026-02-01,Support notes,fact_events,freshness,128623,2143,1.67,Medium,waived
CHK0033,2026-02-02,Data warehouse,stg_extract,referential_integrity,36315,1316,3.62,High,fail
CHK0034,2026-02-03,Sigma workbook,report_output,threshold_breach,16336,244,1.49,Medium,pass
CHK0035,2026-02-04,Data warehouse,dim_entity,freshness,168568,3139,1.86,Medium,fail
CHK0036,2026-02-05,Notebook,fact_events,referential_integrity,7487,77,1.03,Medium,waived
CHK0037,2026-02-06,Sigma workbook,requirement_log,null_rate,190406,1501,0.79,Low,watch
CHK0038,2026-02-07,Data warehouse,stg_extract,duplicate_key,40712,304,0.75,Low,waived
CHK0039,2026-02-08,Support notes,dim_entity,referential_integrity,56115,40,0.07,Low,watch
CHK0040,2026-02-09,Notebook,requirement_log,null_rate,37339,433,1.16,Medium,watch
CHK0041,2026-02-10,Sigma workbook,fact_daily_metric,null_rate,18833,438,2.33,Medium,pass
CHK0042,2026-02-11,Support notes,requirement_log,duplicate_key,54903,663,1.21,Medium,waived
CHK0043,2026-02-12,CRM,fact_events,referential_integrity,139933,1766,1.26,Medium,watch
CHK0044,2026-02-13,ERP,fact_events,null_rate,52196,1443,2.76,High,watch
CHK0045,2026-02-14,Support notes,requirement_log,duplicate_key,50922,1194,2.34,Medium,fail
CHK0046,2026-02-15,Data warehouse,stg_extract,duplicate_key,84363,953,1.13,Medium,watch
CHK0047,2026-02-16,CRM,stg_extract,threshold_breach,175054,3848,2.2,Medium,waived
CHK0048,2026-02-17,Data warehouse,report_output,freshness,131950,979,0.74,Low,watch
CHK0049,2026-02-18,Support notes,fact_events,null_rate,174102,4588,2.64,High,watch
CHK0050,2026-02-19,Notebook,fact_daily_metric,referential_integrity,23633,482,2.04,Medium,watch
CHK0051,2026-02-20,Support notes,fact_events,referential_integrity,13464,172,1.28,Medium,watch
CHK0052,2026-02-21,Data warehouse,requirement_log,definition_drift,211326,2196,1.04,Medium,waived
CHK0053,2026-02-22,ERP,dim_entity,referential_integrity,9050,84,0.93,Low,pass
CHK0054,2026-02-23,Support notes,requirement_log,referential_integrity,149780,5714,3.81,High,waived
CHK0055,2026-02-24,Sigma workbook,fact_daily_metric,referential_integrity,106332,4644,4.37,High,fail
CHK0056,2026-02-25,Notebook,report_output,threshold_breach,182202,1211,0.66,Low,watch
CHK0057,2026-02-26,Notebook,stg_extract,duplicate_key,136997,4163,3.04,High,waived
CHK0058,2026-02-27,Data warehouse,fact_daily_metric,threshold_breach,215582,7352,3.41,High,watch
CHK0059,2026-02-28,Sigma workbook,fact_events,definition_drift,227188,1171,0.52,Low,watch
CHK0060,2026-03-01,Notebook,stg_extract,null_rate,10868,313,2.88,High,watch
CHK0061,2026-03-02,Notebook,stg_extract,null_rate,112776,491,0.44,Low,watch
CHK0062,2026-03-03,Data warehouse,dim_entity,threshold_breach,232071,4024,1.73,Medium,pass
