family_id,family_name,platform,category,lifecycle_stage,region_scope,annual_revenue_k,gross_margin_pct,unit_volume,list_price_index,cost_inflation_pct,lead_time_days,warranty_claim_rate_pct,installed_base_dependency,customer_need_score,competitive_pressure,service_burden,training_gap,substitution_fit,npd_fit,launch_readiness,data_confidence,transition_urgency,npd_gate_score,pricing_confidence,portfolio_action_score
PF001,Solenoid Valve Platform,Fluid control,valves,growth,North America,3359,47.7,38673,102.9,5.9,49,2.6,59.1,84.8,36.8,11.5,42.4,45.1,71.8,80.9,67.4,25.7,84.2,36.5,43.2
PF001,Solenoid Valve Platform,Fluid control,valves,growth,EMEA,2664,39.3,28071,113.0,1.5,36,3.5,46.7,68.2,42.7,32.9,62.2,41.0,74.5,84.3,88.0,21.7,81.0,32.2,39.3
PF001,Solenoid Valve Platform,Fluid control,valves,growth,APAC,3898,39.8,51316,101.9,4.2,53,2.1,42.2,89.6,64.8,8.5,38.8,48.6,59.1,41.5,94.8,25.4,75.5,43.8,43.3
PF001,Solenoid Valve Platform,Fluid control,valves,growth,Latin America,2852,41.2,41055,108.6,2.9,39,1.9,51.0,68.7,87.5,8,24.0,54.0,87.1,69.1,85.8,26.5,83.0,41.6,44.9
PF002,Pneumatic Cylinder Range,Motion control,pneumatics,core,North America,3211,37.8,35091,95.7,7.6,58,2.4,73.9,50.8,55.0,26.6,54.1,35.3,68.3,52.5,60.6,32.9,67.5,34.8,41.8
PF002,Pneumatic Cylinder Range,Motion control,pneumatics,core,EMEA,1586,37.0,17088,112.6,6.0,74,2.5,79.2,82.5,50.7,32.0,81.6,38.3,69.7,68.5,78.4,35.2,75.5,40.1,46.4
PF002,Pneumatic Cylinder Range,Motion control,pneumatics,core,APAC,2829,33.4,17204,92.1,5.0,45,2.2,65.9,88.5,79.0,17.6,59.6,61.8,70.1,38.0,73.7,34.3,75.8,47.1,48.3
PF002,Pneumatic Cylinder Range,Motion control,pneumatics,core,Latin America,4142,40.2,50889,105.8,7.0,50,2.2,66.0,94.4,44.4,18.9,57.1,38.2,65.6,63.4,67.3,28.5,81.2,40.8,45.1
PF003,Valve Island Controls,Motion control,controls,mature,North America,1122,26.8,6460,109.2,7.8,78,3.7,96,55.8,66.5,46.9,42.7,41.8,67.5,22.4,83.7,52.5,52.2,53.8,52.9
PF003,Valve Island Controls,Motion control,controls,mature,EMEA,3456,30.2,31155,98.4,10.1,82,1.9,62.0,77.7,55.7,31.0,29.5,28.4,80.6,27.0,86.1,41.8,64.5,53.2,50.9
PF003,Valve Island Controls,Motion control,controls,mature,APAC,1552,27.8,21503,106.8,11.0,70,3.8,90.7,65.9,69.8,63.8,50.0,40.2,71.3,68.8,74.8,54.8,63.9,57.1,57.7
PF003,Valve Island Controls,Motion control,controls,mature,Latin America,3311,33.3,39010,112.8,9.1,83,3.0,80.5,51.4,54.8,17.7,59.8,61.8,75.8,45.0,71.6,42.5,64.0,40.5,47.0
PF004,Precision Regulator Family,Pressure control,regulators,harvest,North America,1757,25.0,24182,114.1,13.2,67,4.3,69.6,67.7,85.8,48.0,64.1,51.4,94,64.6,80.9,57.4,68.0,68.0,63.3
PF004,Precision Regulator Family,Pressure control,regulators,harvest,EMEA,2076,16.0,25604,109.2,10.3,88,5.1,54.8,58.4,73.2,32.8,71.7,66.3,43.4,40.5,57.8,64.4,43.2,72.5,61.9
PF004,Precision Regulator Family,Pressure control,regulators,harvest,APAC,3473,27.1,36294,109.6,13.2,97,3.9,55.0,52.3,89.8,59.6,30.8,63.5,69.8,77.8,74.5,60.9,58.1,61.8,60.5
PF004,Precision Regulator Family,Pressure control,regulators,harvest,Latin America,2528,26.4,18090,95.4,8.5,98,3.3,65.4,63.2,73.8,45.5,41.4,59.9,61.5,42.1,64.0,55.2,53.4,55.5,54.9
PF005,Hazardous Location Switches,Position sensing,sensors,transition,North America,4143,20.8,25178,113.7,15.5,89,4.5,23.2,70.1,82.3,67.9,62.8,73.9,75.6,36.2,72.3,66.3,51.6,76.1,65.9
PF005,Hazardous Location Switches,Position sensing,sensors,transition,EMEA,4466,19.0,27039,99.3,12.3,124,5.1,46.5,49.8,61.3,73.1,58.3,71.3,46.5,65.7,58.3,71.7,39.6,66.3,62.3
PF005,Hazardous Location Switches,Position sensing,sensors,transition,APAC,2532,21.4,30161,106.3,12.8,82,4.4,36.3,60.0,80.3,63.7,52.0,68.8,73.6,48.5,62.6,62.7,52.8,68.7,62.3
PF005,Hazardous Location Switches,Position sensing,sensors,transition,Latin America,3506,19.3,49862,93.0,13.2,86,5.8,52.8,60.1,79.9,57.6,71.7,60.6,54.5,26.5,80.7,66.0,43.6,74.7,63.4
PF006,Actuator Accessory Kit,Valve automation,actuators,growth,North America,3155,42.8,37436,100.6,5.3,82,2.9,53.6,63.2,48.9,11.2,58.9,32.9,91.7,58.2,80.5,28.6,74.4,35.7,41.9
PF006,Actuator Accessory Kit,Valve automation,actuators,growth,EMEA,5587,41.3,70984,114.7,1.7,74,2.2,38.5,82.9,73.1,13.5,39.5,35.5,71.5,73.3,75.5,25.6,78.7,39.0,42.6
PF006,Actuator Accessory Kit,Valve automation,actuators,growth,APAC,2773,44.9,39169,98.9,4.2,51,3.4,53.9,69.8,45.9,8,52.0,42.1,75.5,59.4,84.1,23.9,77.6,35.6,40.5
PF006,Actuator Accessory Kit,Valve automation,actuators,growth,Latin America,2389,41.5,27159,116.4,2.6,57,2.4,35.6,78.4,54.1,22.3,32.6,57.4,73.5,36.8,77.3,25.8,72.9,36.0,40.4
