action_id,entity_id,recommendation_theme,priority,estimated_hours_saved_monthly,expected_value_or_cost_avoidance,confidence,owner_team,next_step,status
ACT0001,ENT001,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,80,31910,Medium,Supply chain,ship dashboard,in progress
ACT0002,ENT002,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P0,77,48045,High,Sales,automate refresh,needs evidence
ACT0003,ENT003,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,15,89059,High,Quality,rewrite requirement,proposed
ACT0004,ENT004,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,37,117020,Medium,Quality,automate refresh,needs evidence
ACT0005,ENT005,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,23,115296,Medium,Quality,investigate anomaly,accepted
ACT0006,ENT006,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P1,26,54154,Medium,Supply chain,investigate anomaly,accepted
ACT0007,ENT007,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,13,44309,High,Supply chain,investigate anomaly,needs evidence
ACT0008,ENT008,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,32,105620,Medium,Operations,ship dashboard,proposed
ACT0009,ENT009,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,65,123739,Directional,Sales,rewrite requirement,needs evidence
ACT0010,ENT010,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,15,137912,Medium,Operations,ship dashboard,needs evidence
ACT0011,ENT011,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,30,100724,High,Operations,automate refresh,proposed
ACT0012,ENT012,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,47,112199,Medium,Operations,certify metric,proposed
ACT0013,ENT013,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,34,125851,Directional,Quality,automate refresh,needs evidence
ACT0014,ENT014,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P0,94,129076,High,Sales,run stakeholder review,accepted
ACT0015,ENT015,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P3,75,81907,High,Sales,ship dashboard,accepted
ACT0016,ENT016,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,59,43709,Directional,Analytics,automate refresh,proposed
ACT0017,ENT017,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,71,58229,Directional,Sales,ship dashboard,proposed
ACT0018,ENT018,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,27,83392,Directional,Sales,run stakeholder review,accepted
ACT0019,ENT019,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,7,109052,Directional,Quality,rewrite requirement,proposed
ACT0020,ENT020,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P3,33,33089,Medium,Analytics,run stakeholder review,in progress
ACT0021,ENT021,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,76,11860,Directional,Product,certify metric,proposed
ACT0022,ENT022,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,28,139392,Medium,Quality,automate refresh,needs evidence
ACT0023,ENT023,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,90,28137,High,Analytics,investigate anomaly,proposed
ACT0024,ENT024,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P1,18,9666,High,Operations,automate refresh,accepted
ACT0025,ENT001,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,79,88917,High,Sales,automate refresh,needs evidence
ACT0026,ENT002,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,26,88798,High,Supply chain,run stakeholder review,in progress
ACT0027,ENT003,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,71,125931,Medium,Product,rewrite requirement,accepted
ACT0028,ENT004,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,52,128752,Directional,Product,automate refresh,accepted
ACT0029,ENT005,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P0,50,116361,Directional,Operations,investigate anomaly,proposed
ACT0030,ENT006,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P2,31,92516,High,Operations,run stakeholder review,proposed
ACT0031,ENT007,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,9,127587,Medium,Analytics,automate refresh,needs evidence
ACT0032,ENT008,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,71,55650,Directional,Sales,rewrite requirement,in progress
ACT0033,ENT009,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P3,92,75539,Medium,Operations,automate refresh,proposed
ACT0034,ENT010,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P2,44,107841,Directional,Supply chain,automate refresh,in progress
ACT0035,ENT011,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P3,93,55847,Medium,Quality,investigate anomaly,in progress
ACT0036,ENT012,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,94,111249,Directional,Sales,certify metric,proposed
ACT0037,ENT013,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,63,102189,Directional,Supply chain,automate refresh,proposed
ACT0038,ENT014,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,53,31657,Medium,Supply chain,automate refresh,accepted
ACT0039,ENT015,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P1,84,87842,High,Product,run stakeholder review,proposed
ACT0040,ENT016,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,36,126425,Directional,Operations,ship dashboard,accepted
ACT0041,ENT017,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P2,45,56833,Directional,Operations,ship dashboard,in progress
ACT0042,ENT018,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,39,130034,High,Quality,rewrite requirement,in progress
ACT0043,ENT019,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,59,125488,Medium,Quality,automate refresh,proposed
ACT0044,ENT020,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,79,14842,Directional,Analytics,automate refresh,in progress
ACT0045,ENT021,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,61,97582,High,Quality,certify metric,needs evidence
ACT0046,ENT022,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,64,35829,Directional,Quality,certify metric,needs evidence
ACT0047,ENT023,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,37,81889,Directional,Operations,automate refresh,needs evidence
ACT0048,ENT024,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P3,27,59351,Directional,Supply chain,investigate anomaly,needs evidence
ACT0049,ENT001,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,80,107334,Medium,Supply chain,ship dashboard,accepted
ACT0050,ENT002,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,88,37488,High,Product,automate refresh,needs evidence
ACT0051,ENT003,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P0,72,24539,Directional,Product,run stakeholder review,accepted
ACT0052,ENT004,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P2,42,52792,High,Product,investigate anomaly,needs evidence
ACT0053,ENT005,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,13,123376,High,Operations,automate refresh,accepted
ACT0054,ENT006,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P0,60,76643,High,Product,rewrite requirement,proposed
ACT0055,ENT007,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P0,72,32116,High,Sales,ship dashboard,proposed
ACT0056,ENT008,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P0,92,13991,Directional,Supply chain,investigate anomaly,accepted
ACT0057,ENT009,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P2,85,50980,High,Product,investigate anomaly,accepted
ACT0058,ENT010,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P2,13,34514,Directional,Quality,ship dashboard,proposed
ACT0059,ENT011,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P3,71,51288,Medium,Product,ship dashboard,accepted
ACT0060,ENT012,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,43,44562,Medium,Sales,investigate anomaly,needs evidence
ACT0061,ENT013,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,95,93008,High,Sales,rewrite requirement,accepted
ACT0062,ENT014,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P3,60,18310,Directional,Sales,rewrite requirement,needs evidence
ACT0063,ENT015,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,49,39909,Directional,Sales,rewrite requirement,accepted
ACT0064,ENT016,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,25,42506,Medium,Analytics,automate refresh,in progress
ACT0065,ENT017,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P2,64,33908,Medium,Sales,ship dashboard,needs evidence
ACT0066,ENT018,"Retire low-margin, low-demand SKUs after mapping customer substitution paths and sales enablement needs.",P0,28,74825,High,Analytics,rewrite requirement,accepted
ACT0067,ENT019,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,20,110221,Directional,Sales,investigate anomaly,proposed
ACT0068,ENT020,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,69,131813,Medium,Sales,certify metric,needs evidence
ACT0069,ENT021,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P0,48,98915,Medium,Sales,run stakeholder review,accepted
ACT0070,ENT022,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,12,47242,Directional,Sales,rewrite requirement,proposed
ACT0071,ENT023,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P2,35,99254,High,Operations,ship dashboard,accepted
ACT0072,ENT024,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P0,10,89658,Medium,Supply chain,ship dashboard,accepted
ACT0073,ENT001,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P0,45,94853,Medium,Quality,certify metric,proposed
ACT0074,ENT002,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P0,94,4732,High,Operations,ship dashboard,accepted
ACT0075,ENT003,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P1,89,141625,High,Analytics,ship dashboard,needs evidence
ACT0076,ENT004,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P3,41,62406,Medium,Supply chain,certify metric,proposed
ACT0077,ENT005,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P2,92,126133,Directional,Quality,ship dashboard,proposed
ACT0078,ENT006,"Create a recurring KPI readout that ties pricing, product availability, and customer feedback to roadmap choices.",P1,72,99251,Medium,Supply chain,automate refresh,proposed
ACT0079,ENT007,Prioritize NPD concepts that improve both portfolio fit and supply-chain feasibility before gate review.,P2,29,96739,Directional,Analytics,certify metric,needs evidence
